DATA	DIA	Nº	ENCONTRO	FORMATO	TEMA	ASSISTIR ANTES	ENTREGA	AI JOURNEY T04	UNIFICA	PERFIL DO PROFESSOR	STATUS	MUDANÇA DE DATA
08/09/2026	terça	0	Kick-off	Abertura	Encontro de Abertura: estrutura, calendário, plataforma e time	Tudo aberto		Mentoria estratégica: Como mapear os principais processos e inserir ferramentas de IA	Não	Time interno que apresenta plataforma e calendário	Confirmado	
14/09/2026	segunda	1	EC 01	Estudo de caso	Perímetro e influência: liderar sem crachá	Módulo 1				Já liderou sem autoridade formal sobre o time	A definir	
21/09/2026	segunda	2	HO 01	Hands on	Faça em 20 minutos o que hoje te toma 6 horas	Módulo 1	Capítulo 1			Constrói skill ao vivo sem travar	Confirmado	
28/09/2026	segunda	3	EC 02	Conversa + Q&A	O trabalho de ser humano	Módulo 2				Piero Franceschi	Confirmado	
05/10/2026	segunda	4	EC 05	Estudo de caso	Cultura AI First: seu time usando IA todo dia	Módulo 5		Mentoria estratégica: Cultura AI First: formando times que usam IA todos os dias	Sim	Tem time usando IA há pelo menos 6 meses	A definir	Era 09/11. Movido para casar com a mentoria do AI Journey
13/10/2026	terça	5	HO 02	Hands on	Do mapa ao alvo	Módulo 3	Capítulo 2			Escolhe alvo em processo alheio, ao vivo	A definir	Era 05/10. Deslocado pelo EC 05. Terça porque 12/10 é feriado
19/10/2026	segunda	6	Checkpoint	Checkpoint	Sem conteúdo novo: verifica acesso, alvo e o que vai conectar	Módulo 4				Resolve acesso e ferramenta na hora	A definir	
26/10/2026	segunda	7	HO 03	Hands on	Seu primeiro agente conectado à operação real	Módulo 4	Capítulo 3			Já colocou agente em operação, não em demo	Confirmado	
03/11/2026	terça	8	EC 03	Estudo de caso	Quem faz o quê quando a IA entra (absorve o tópico de ROI)	Módulo 4		Mentoria estratégica: ROI de IA: como priorizar, medir e defender investimento diante do board	Sim	Redesenhou a divisão de trabalho com IA e tem número	A definir	Era 13/10. Movido para casar com a mentoria do AI Journey. Terça porque 02/11 é feriado
09/11/2026	segunda	9	EC 04	Estudo de caso	O acordo com o time	Módulo 5				Já teve a conversa de metas e tempo liberado com o time	A definir	Era 03/11. Deslocado pelo EC 03
16/11/2026	segunda	10	HO 04	Hands on	As regras do jogo + fechamento	Módulo 5	Capítulo 4			Escreveu regra de uso de IA para time pequeno	A definir	
23/11/2026	segunda		Certificado	Marco	Prazo de emissão do certificado, 7 dias após o último encontro							
30/11/2026	segunda							Mentoria estratégica: Redesenho do modelo operacional na era da IA	Fora da janela			Leadership termina em 16/11. Tema coberto pelo Módulo 4 gravado
17/05/2027	segunda		Expiração	Marco	Fim dos 6 meses de acesso ao conteúdo gravado							
